number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
34,0.7507436480649713,TrialState.COMPLETE,64,3,64,7,0.00040290835311682067,6,30,2,0.3,0.9712595343589783,"{'0': 32, '1': 22, '2': 23, '3': 16, '4': 17, '5': 12}",0.4825767467051758,20,0.7507436480649713,0.5668378472328186,2076,42
35,0.668232544342238,TrialState.COMPLETE,64,3,64,7,0.0005348132768977065,5,30,2,0.3,1.0444491505622864,"{'0': 36, '1': 25, '2': 24, '3': 15, '4': 21}",0.6763483719249744,20,0.668232544342238,0.3979203701019287,2077,42
36,0.6802164420896114,TrialState.COMPLETE,64,3,64,7,0.0005234659851866103,5,30,2,0.3,1.1124252080917358,"{'0': 31, '1': 32, '2': 27, '3': 15, '4': 16}",0.6926877380446527,20,0.6802164420896114,0.4370957612991333,2078,42
37,-999.0,TrialState.COMPLETE,128,1,16,11,0.0007728808749265708,6,15,2,0.1,1.0816234350204468,"{'0': 23, '1': 28, '2': 16, '3': 19, '4': 23, '5': 12}",,20,-999.0,,2079,42
38,0.6729179287651205,TrialState.COMPLETE,64,3,32,11,0.001367798108328557,5,5,2,0.1,1.0220820307731628,"{'0': 40, '1': 20, '2': 22, '3': 25, '4': 14}",0.6554379477944098,20,0.6729179287651205,0.404848575592041,2080,42
39,0.7106128954287338,TrialState.COMPLETE,128,3,64,11,0.000620988569328708,6,30,2,0.1,1.0455129146575928,"{'0': 19, '1': 16, '2': 30, '3': 14, '4': 20, '5': 23}",0.5079146348126492,20,0.7106128954287338,0.4618932604789734,2081,42
40,0.5556025771868593,TrialState.COMPLETE,128,3,64,11,0.000654337857298233,6,5,5,0.1,0.9676779508590698,"{'0': 25, '1': 20, '2': 18, '3': 24, '4': 14, '5': 21}",1.1276760190547237,20,0.5556025771868593,0.1845819056034088,2082,42
41,0.6407949808442578,TrialState.COMPLETE,128,3,16,11,0.0006528895013497425,6,5,5,0.1,1.0839622616767883,"{'0': 28, '1': 19, '2': 25, '3': 25, '4': 15, '5': 11}",0.8658704360326737,20,0.6407949808442578,0.37146317958831787,2083,42
42,0.5109613030005515,TrialState.COMPLETE,128,3,16,11,0.0006777395618771478,6,15,5,0.05,1.0261546671390533,"{'0': 25, '1': 31, '2': 17, '3': 25, '4': 11, '5': 13}",1.4171697039042652,20,0.5109613030005515,0.10528344660997391,2084,42
43,0.5132074977179846,TrialState.COMPLETE,32,3,64,11,0.00040152770127180803,6,15,5,0.05,1.0319596230983734,"{'0': 31, '1': 26, '2': 18, '3': 17, '4': 12, '5': 17}",1.6638545941435625,20,0.5132074977179846,0.1445392519235611,2085,42
44,0.6441101921800682,TrialState.COMPLETE,64,1,32,11,0.00040527241460858155,6,10,2,0.1,1.0861287117004395,"{'0': 30, '1': 21, '2': 21, '3': 19, '4': 17, '5': 14}",0.7591347386037564,20,0.6441101921800682,0.35306230187416077,2086,42
45,0.7112990325677773,TrialState.COMPLETE,128,3,64,11,0.0004222726219308092,6,30,2,0.1,1.027014821767807,"{'0': 26, '1': 21, '2': 20, '3': 24, '4': 15, '5': 15}",0.5791235297144601,20,0.7112990325677773,0.48948636651039124,2087,42
46,0.7784163263900216,TrialState.COMPLETE,128,3,64,11,0.0009323185083587048,6,30,2,0.1,1.0462383925914764,"{'0': 28, '1': 24, '2': 17, '3': 16, '4': 24, '5': 13}",0.42531955394718884,20,0.7784163263900216,0.622677743434906,2088,42
47,0.723237766940322,TrialState.COMPLETE,128,3,64,11,0.0009026650993889423,6,30,2,0.1,1.0122857093811035,"{'0': 29, '1': 19, '2': 28, '3': 15, '4': 20, '5': 11}",0.5621850080900084,20,0.723237766940322,0.5177115797996521,2089,42
48,0.533631151498151,TrialState.COMPLETE,128,3,64,11,0.0009391708781181421,6,30,2,0.1,1.093900442123413,"{'0': 19, '1': 26, '2': 32, '3': 15, '4': 18, '5': 12}",0.9373548645758514,20,0.533631151498151,0.08223097771406174,2090,42
49,-999.0,TrialState.COMPLETE,128,2,64,11,0.0009295605550339834,6,30,2,0.1,0.9927836656570435,"{'0': 32, '1': 20, '2': 21, '3': 19, '4': 17, '5': 13}",,20,-999.0,,2091,42
50,0.7188143548573623,TrialState.COMPLETE,128,3,64,11,0.001317875860493417,4,30,2,0.1,0.9854870438575745,"{'0': 46, '1': 30, '2': 33, '3': 13}",0.6903468596639224,20,0.7188143548573623,0.5466742515563965,2092,42
51,0.6783891707156725,TrialState.COMPLETE,128,3,64,11,0.0008238200059666258,4,30,2,0.1,1.0206149518489838,"{'0': 45, '1': 40, '2': 21, '3': 16}",0.7421891466424546,20,0.6783891707156725,0.446262925863266,2093,42
52,0.6502468211839295,TrialState.COMPLETE,128,3,64,11,0.0008180052591908082,4,30,2,0.1,1.001351922750473,"{'0': 38, '1': 20, '2': 33, '3': 30}",0.7776080494897749,20,0.6502468211839295,0.37565916776657104,2094,42
53,0.6761439526394504,TrialState.COMPLETE,128,3,64,11,0.0012863585730169646,4,30,2,0.1,1.0197187662124634,"{'0': 40, '1': 31, '2': 35, '3': 17}",0.7485069667507275,20,0.6761439526394504,0.441625714302063,2095,42
54,-999.0,TrialState.COMPLETE,128,3,64,11,0.0013018718944055702,6,30,2,0.3,1.1787680983543396,"{'0': 25, '1': 27, '2': 29, '3': 14, '4': 14, '5': 13}",,20,-999.0,,2096,42
55,-999.0,TrialState.COMPLETE,128,3,64,11,0.0013365979746988292,4,30,2,0.1,1.076924979686737,"{'0': 42, '1': 22, '2': 34, '3': 23}",,20,-999.0,,2097,42
56,0.7196612638773556,TrialState.COMPLETE,128,3,64,11,0.0013023298822673632,4,30,2,0.1,1.0227335691452026,"{'0': 46, '1': 38, '2': 19, '3': 18}",0.6190741882137873,20,0.7196612638773556,0.5267719626426697,2098,42
57,0.6711610957314758,TrialState.COMPLETE,128,3,64,11,0.0016761915506735203,2,30,2,0.1,1.1313546299934387,"{'0': 60, '1': 61}",0.8932643334920318,20,0.6711610957314758,0.4648703336715698,2099,42
58,0.6808000143574706,TrialState.COMPLETE,16,3,64,11,0.00021144283584847878,2,30,2,0.1,1.231219232082367,"{'0': 77, '1': 45}",0.8353784232668522,20,0.6808000143574706,0.47813138365745544,2100,42
59,0.6142040953907231,TrialState.COMPLETE,16,2,64,11,0.0017430904496931689,2,30,2,0.1,1.0688942074775696,"{'0': 77, '1': 44}",1.1693074815390678,20,0.6142040953907231,0.3597460389137268,2101,42
60,0.6082482205738962,TrialState.COMPLETE,16,2,64,11,0.0017232947020646475,2,30,2,0.1,1.1898391842842102,"{'0': 89, '1': 33}",1.1498064220599344,20,0.6082482205738962,0.33914506435394287,2102,42
61,-999.0,TrialState.COMPLETE,16,2,64,7,0.000470593552654969,6,30,2,0.3,1.1328551173210144,"{'0': 29, '1': 20, '2': 23, '3': 16, '4': 17, '5': 17}",,20,-999.0,,2103,42
62,0.7655111047988034,TrialState.COMPLETE,16,3,64,7,0.000459700547694655,6,30,2,0.3,1.1333176493644714,"{'0': 20, '1': 21, '2': 27, '3': 21, '4': 12, '5': 20}",0.5335814755515429,20,0.7655111047988034,0.6282588243484497,2104,42
63,0.6255953246235993,TrialState.COMPLETE,32,3,64,7,0.00024582432661584386,6,30,2,0.1,1.1287175416946411,"{'0': 31, '1': 24, '2': 18, '3': 22, '4': 14, '5': 12}",0.7572210540843438,20,0.6255953246235993,0.2996320426464081,2105,42
64,0.640791925009282,TrialState.COMPLETE,128,3,64,11,0.0009701835410145842,4,30,2,0.1,1.0513078272342682,"{'0': 36, '1': 34, '2': 28, '3': 24}",0.8375524566322821,20,0.640791925009282,0.3643750846385956,2106,42
65,0.6708337425846488,TrialState.COMPLETE,128,3,64,11,0.000980604523399843,4,30,2,0.1,1.0748907625675201,"{'0': 57, '1': 24, '2': 24, '3': 16}",0.6928681287936342,20,0.6708337425846488,0.4103420078754425,2107,42
66,-999.0,TrialState.COMPLETE,16,3,64,7,0.00029641316516120696,6,30,2,0.3,1.2100858092308044,"{'0': 20, '1': 27, '2': 22, '3': 19, '4': 19, '5': 15}",,20,-999.0,,2108,42
67,0.6982292917530346,TrialState.COMPLETE,16,3,64,7,0.00033967097057559324,6,30,2,0.3,1.1075616478919983,"{'0': 34, '1': 26, '2': 19, '3': 16, '4': 18, '5': 9}",0.7427558786427458,20,0.6982292917530346,0.5031089782714844,2109,42
68,0.6963603388852954,TrialState.COMPLETE,16,3,64,7,0.00031009355289296644,6,30,2,0.3,1.1425797939300537,"{'0': 31, '1': 23, '2': 20, '3': 12, '4': 16, '5': 20}",0.6190827696904659,20,0.6963603388852954,0.460200697183609,2110,42
69,0.6158900277257288,TrialState.COMPLETE,16,3,64,7,0.00034128197356617264,6,15,2,0.3,1.2130256295204163,"{'0': 29, '1': 20, '2': 20, '3': 19, '4': 20, '5': 15}",0.8199996462203655,20,0.6158900277257288,0.28872808814048767,2111,42
70,-999.0,TrialState.COMPLETE,16,3,64,7,0.00033306384698179723,6,5,2,0.3,1.1875507235527039,"{'0': 19, '1': 23, '2': 33, '3': 17, '4': 24, '5': 6}",,20,-999.0,,2112,42
71,0.753238155019105,TrialState.COMPLETE,64,3,16,7,0.0005759493917117356,6,15,2,0.3,1.0937179923057556,"{'0': 32, '1': 22, '2': 18, '3': 13, '4': 17, '5': 19}",0.45486050276460166,20,0.753238155019105,0.5629509091377258,2113,42
72,0.6015845933834629,TrialState.COMPLETE,64,3,16,7,0.0010419351337917291,6,15,2,0.3,1.0449855625629425,"{'0': 29, '1': 22, '2': 22, '3': 13, '4': 17, '5': 19}",0.8157461549904379,20,0.6015845933834629,0.24675217270851135,2114,42
73,0.5954473584271176,TrialState.COMPLETE,64,3,16,7,0.00045449904661811337,6,5,3,0.05,1.1979808807373047,"{'0': 29, '1': 23, '2': 15, '3': 18, '4': 14, '5': 23}",0.9619814139584077,20,0.5954473584271176,0.26440203189849854,2115,42
74,0.6500579469852158,TrialState.COMPLETE,64,3,16,7,0.00044056047168635946,6,15,2,0.3,1.3524394631385803,"{'0': 24, '1': 21, '2': 20, '3': 21, '4': 21, '5': 15}",0.7440396137436721,20,0.6500579469852158,0.36583858728408813,2116,42
75,0.6554677676428704,TrialState.COMPLETE,64,3,16,7,0.00046842588113477285,6,15,2,0.3,1.1252787709236145,"{'0': 25, '1': 19, '2': 31, '3': 18, '4': 14, '5': 14}",0.6693882814786176,20,0.6554677676428704,0.3593177795410156,2117,42
76,-999.0,TrialState.COMPLETE,64,3,16,7,0.00047225752955567607,6,15,2,0.3,1.1574413776397705,"{'0': 32, '1': 18, '2': 20, '3': 16, '4': 19, '5': 17}",,20,-999.0,,2118,42
77,0.6610122508396052,TrialState.COMPLETE,64,1,16,7,0.0008313448315748036,6,15,2,0.3,1.1223448514938354,"{'0': 34, '1': 30, '2': 19, '3': 21, '4': 10, '5': 7}",0.8355423003720075,20,0.6610122508396052,0.4216366112232208,2119,42
78,0.6874293056321267,TrialState.COMPLETE,64,1,16,7,0.0005835101119423181,6,15,2,0.3,1.1124037504196167,"{'0': 29, '1': 29, '2': 16, '3': 20, '4': 14, '5': 13}",0.6964915426621362,20,0.6874293056321267,0.4588393270969391,2120,42
79,0.5168750670121456,TrialState.COMPLETE,64,1,16,11,0.0007197866129790351,6,10,5,0.3,1.1046376824378967,"{'0': 20, '1': 24, '2': 28, '3': 17, '4': 22, '5': 11}",1.4334378875230716,20,0.5168750670121456,0.12455055117607117,2121,42
80,0.5388421230298797,TrialState.COMPLETE,64,1,16,11,0.0005738780881073616,6,10,5,0.3,1.1113958954811096,"{'0': 24, '1': 22, '2': 29, '3': 14, '4': 21, '5': 12}",1.2533763899805386,20,0.5388421230298797,0.1591673493385315,2122,42
81,-999.0,TrialState.COMPLETE,32,3,64,11,0.000728665016712749,5,10,5,0.05,1.1243106126785278,"{'0': 40, '1': 15, '2': 35, '3': 22, '4': 11}",,20,-999.0,,2123,42
82,0.5690992260845299,TrialState.COMPLETE,32,1,64,11,0.0007242025121843963,5,10,5,0.05,1.0861291885375977,"{'0': 42, '1': 24, '2': 18, '3': 16, '4': 22}",1.1932317447373486,20,0.5690992260845299,0.23518507182598114,2124,42
83,0.6770170571120933,TrialState.COMPLETE,32,3,32,11,0.0007158623850385636,5,10,2,0.05,1.0844703912734985,"{'0': 25, '1': 30, '2': 22, '3': 26, '4': 18}",0.6603225389302463,20,0.6770170571120933,0.41808363795280457,2125,42
84,0.6138185731995366,TrialState.COMPLETE,128,3,64,11,0.0012059824311279614,4,30,2,0.1,1.0381405353546143,"{'0': 44, '1': 34, '2': 24, '3': 19}",0.8841171593417668,20,0.6138185731995366,0.2988365888595581,2126,42
85,0.7722533573081716,TrialState.COMPLETE,128,3,64,11,0.00037688561157127944,4,30,2,0.1,1.0027169287204742,"{'0': 36, '1': 36, '2': 22, '3': 28}",0.4721508342380627,20,0.7722533573081716,0.6241996884346008,2127,42
86,0.6763960567480253,TrialState.COMPLETE,128,3,64,11,0.0012136565096633562,4,30,2,0.1,0.975914865732193,"{'0': 39, '1': 40, '2': 28, '3': 15}",0.6902726516200786,20,0.6763960567480253,0.42545685172080994,2128,42
87,0.6876126754769877,TrialState.COMPLETE,128,3,64,11,0.0012222784868368914,4,30,2,0.1,1.0141509175300598,"{'0': 42, '1': 27, '2': 31, '3': 22}",0.7031179234673762,20,0.6876126754769877,0.46132901310920715,2129,42
88,0.6898238101414331,TrialState.COMPLETE,128,3,64,11,0.0015003733435678171,4,30,2,0.1,1.1638043522834778,"{'0': 44, '1': 17, '2': 41, '3': 20}",0.5851428185963311,20,0.6898238101414331,0.43018975853919983,2130,42
89,0.6745196260908434,TrialState.COMPLETE,128,3,64,11,0.00036894914398869313,4,30,2,0.1,0.9774041771888733,"{'0': 39, '1': 34, '2': 28, '3': 20}",0.7138818428459281,20,0.6745196260908434,0.4270811080932617,2131,42
90,0.7368293529254281,TrialState.COMPLETE,128,3,64,11,0.00037318667374463686,3,30,2,0.1,1.158774733543396,"{'0': 34, '1': 46, '2': 43}",0.6072770527792786,20,0.7368293529254281,0.5719379186630249,2132,42
91,0.5708366727583818,TrialState.COMPLETE,128,3,64,11,0.0014586771052822528,3,30,3,0.1,1.0221166908740997,"{'0': 53, '1': 42, '2': 29}",1.1843370396593853,20,0.5708366727583818,0.23855780065059662,2133,42
92,0.720556458754286,TrialState.COMPLETE,128,3,32,11,0.00036920907019958514,3,30,2,0.1,1.049486666917801,"{'0': 46, '1': 51, '2': 24}",0.6802827156391925,20,0.720556458754286,0.548614501953125,2134,42
93,0.5463409229746007,TrialState.COMPLETE,128,3,32,7,0.0024241133930147513,3,30,3,0.1,1.0627976655960083,"{'0': 47, '1': 51, '2': 23}",1.4264286270896804,20,0.5463409229746007,0.20772120356559753,2135,42
94,0.7045893558494314,TrialState.COMPLETE,128,3,64,11,0.0002612281987875213,3,30,2,0.1,1.0213232040405273,"{'0': 61, '1': 37, '2': 25}",0.6513922075711349,20,0.7045893558494314,0.4940698742866516,2136,42
95,0.5045793235971534,TrialState.COMPLETE,128,3,32,11,0.0005114363730837944,3,30,3,0.1,1.1061192154884338,"{'0': 68, '1': 33, '2': 21}",1.7141957290328225,20,0.5045793235971534,0.12585526704788208,2137,42
96,0.732475817135461,TrialState.COMPLETE,128,3,32,11,0.000511860892523542,3,30,2,0.1,1.0874386429786682,"{'0': 41, '1': 38, '2': 43}",0.5922453584050159,20,0.732475817135461,0.5544646978378296,2138,42
97,0.6939558708077689,TrialState.COMPLETE,128,3,32,11,0.0003732743437169926,3,30,2,0.1,0.9815826117992401,"{'0': 47, '1': 41, '2': 35}",0.8128156829040005,20,0.6939558708077689,0.5099070072174072,2139,42
98,0.7121404500719696,TrialState.COMPLETE,128,2,32,11,0.00038027623595569056,3,30,2,0.1,1.1649245023727417,"{'0': 51, '1': 36, '2': 34}",0.7131354776654953,20,0.7121404500719696,0.5343512892723083,2140,42
99,0.606672069096429,TrialState.COMPLETE,128,2,32,11,0.0006078220084308593,3,30,2,0.1,1.0842018723487854,"{'0': 45, '1': 40, '2': 36}",0.9881639627113007,20,0.606672069096429,0.3022259473800659,2141,42
100,0.771653397226646,TrialState.COMPLETE,128,2,32,11,0.0003783492041758494,3,30,2,0.1,1.0324176251888275,"{'0': 53, '1': 48, '2': 21}",0.4872722830492056,20,0.771653397226646,0.6284052729606628,2142,42
101,0.6789868796404939,TrialState.COMPLETE,128,1,32,11,0.000508822188825872,3,30,2,0.1,1.1513662934303284,"{'0': 39, '1': 54, '2': 29}",0.7772637015822852,20,0.6789868796404939,0.45768019556999207,2143,42
102,0.6299078424077014,TrialState.COMPLETE,64,1,32,11,0.0005136336731400442,3,10,2,0.1,1.0634703040122986,"{'0': 59, '1': 32, '2': 32}",0.903371631848432,20,0.6299078424077014,0.34940800070762634,2144,42
103,0.6559343513671104,TrialState.COMPLETE,64,1,64,7,0.0008563921407986696,3,10,2,0.1,1.0601219534873962,"{'0': 47, '1': 38, '2': 36}",0.7663921020086434,20,0.6559343513671104,0.3888475298881531,2145,42
104,0.6035096788494863,TrialState.COMPLETE,128,3,32,11,0.00041810732183194973,3,30,2,0.1,0.9804343581199646,"{'0': 65, '1': 30, '2': 27}",1.0630082336761326,20,0.6035096788494863,0.3088313341140747,2146,42
105,0.7036976311038097,TrialState.COMPLETE,128,2,32,11,0.00040288561976030516,3,30,2,0.1,1.047519564628601,"{'0': 42, '1': 41, '2': 38}",0.6572860445691645,20,0.7036976311038097,0.4933679699897766,2147,42
106,0.6233265659110201,TrialState.COMPLETE,128,2,32,11,0.00040757437565432846,3,30,2,0.1,1.095156490802765,"{'0': 49, '1': 36, '2': 36}",0.958986338424094,20,0.6233265659110201,0.34338897466659546,2148,42
107,0.6853053271573045,TrialState.COMPLETE,128,2,32,11,0.00031369139196359033,3,30,2,0.1,0.9768727719783783,"{'0': 62, '1': 38, '2': 22}",0.7281314390876118,20,0.6853053271573045,0.46202120184898376,2149,42
108,0.6715616343923125,TrialState.COMPLETE,128,2,32,3,0.0004380524978524506,6,30,2,0.1,1.07365083694458,"{'0': 24, '1': 31, '2': 23, '3': 20, '4': 11, '5': 13}",0.6979575768152423,20,0.6715616343923125,0.41393935680389404,2150,42
109,0.6294540170433769,TrialState.COMPLETE,128,2,64,3,0.0004423329613229177,6,5,2,0.0,1.0143291354179382,"{'0': 25, '1': 24, '2': 20, '3': 16, '4': 20, '5': 16}",0.8258451561277722,20,0.6294540170433769,0.3289901316165924,2151,42
110,0.6204486647761185,TrialState.COMPLETE,128,2,64,7,0.00012608681773314313,6,5,2,0.0,1.2012031078338623,"{'0': 30, '1': 22, '2': 26, '3': 16, '4': 15, '5': 14}",0.8927093861711086,20,0.6204486647761185,0.31984493136405945,2152,42
111,0.6948479974581369,TrialState.COMPLETE,128,3,64,3,0.00011154276760211388,6,5,2,0.0,1.3254225254058838,"{'0': 30, '1': 22, '2': 26, '3': 13, '4': 14, '5': 16}",0.6565847844082842,20,0.6948479974581369,0.46786436438560486,2153,42
112,0.6475557846258329,TrialState.COMPLETE,64,3,64,7,0.000131015714269969,6,5,2,0.0,1.1830937266349792,"{'0': 28, '1': 20, '2': 30, '3': 17, '4': 10, '5': 16}",0.7757520381976372,20,0.6475557846258329,0.3674665093421936,2154,42
113,0.6809372538596374,TrialState.COMPLETE,64,3,64,7,0.0004853616270441557,6,30,2,0.3,1.0201237499713898,"{'0': 30, '1': 27, '2': 19, '3': 18, '4': 12, '5': 15}",0.6227712572377823,20,0.6809372538596374,0.4173380434513092,2155,42
