number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
134,0.7973087203473439,TrialState.COMPLETE,16,2,16,3,0.0001101553633318744,3,5,2,0.1,1.5814024209976196,"{'0': 51, '1': 43, '2': 28}",0.41571348949085785,20,0.7973087203473439,0.6725755333900452,1176,42
135,0.775378884988214,TrialState.COMPLETE,16,2,16,3,0.00011251768514896939,3,5,2,0.1,1.540573000907898,"{'0': 60, '1': 23, '2': 39}",0.4537058925190281,20,0.775378884988214,0.6257421970367432,1177,42
136,0.7009596705535299,TrialState.COMPLETE,16,2,16,3,0.0001351889928340693,3,5,2,0.1,1.5075860023498535,"{'0': 48, '1': 69, '2': 7}",0.6001361198937113,20,0.7009596705535299,0.4670732021331787,1178,42
137,0.8755985340554084,TrialState.COMPLETE,16,2,16,3,0.00012997321091007063,3,5,2,0.1,1.5148829817771912,"{'0': 74, '1': 33, '2': 14}",0.2480393724204497,20,0.8755985340554084,0.814918577671051,1179,42
138,0.8004016209043754,TrialState.COMPLETE,16,2,16,3,0.00014719322512364696,3,5,2,0.1,1.4623699188232422,"{'0': 8, '1': 63, '2': 51}",0.44738300356051,20,0.8004016209043754,0.694659948348999,1180,42
139,0.8063063041680383,TrialState.COMPLETE,16,2,16,3,0.00013468412703466885,3,5,2,0.1,1.5392405986785889,"{'0': 48, '1': 46, '2': 27}",0.45273417543604927,20,0.8063063041680383,0.7137118577957153,1181,42
140,0.5828062113322854,TrialState.COMPLETE,16,2,16,3,0.0007119444728466515,3,5,3,0.1,1.3039679527282715,"{'0': 45, '1': 71, '2': 6}",1.2365802311322271,20,0.5828062113322854,0.28192245960235596,1182,42
141,0.742146541273614,TrialState.COMPLETE,16,2,16,3,0.00012986623353658695,3,5,3,0.1,1.5224896669387817,"{'0': 41, '1': 53, '2': 29}",0.5383823252162792,20,0.742146541273614,0.5632471442222595,1183,42
142,-999.0,TrialState.COMPLETE,16,2,16,3,0.0001497503415353767,3,5,3,0.1,1.4843047261238098,"{'0': 73, '1': 44, '2': 5}",,20,-999.0,,1184,42
143,0.7900239125764474,TrialState.COMPLETE,16,2,16,3,0.00015446925484204107,6,5,2,0.1,1.4852517247200012,"{'0': 14, '1': 30, '2': 24, '3': 9, '4': 24, '5': 21}",0.4413117282430378,20,0.7900239125764474,0.6625148057937622,1185,42
144,0.7797721367789268,TrialState.COMPLETE,16,2,16,3,0.0001501525542533954,3,5,2,0.1,1.5066436529159546,"{'0': 55, '1': 37, '2': 30}",0.4984006208197253,20,0.7797721367789268,0.6558818817138672,1186,42
145,0.683856358417422,TrialState.COMPLETE,16,2,16,3,0.00014767574671300607,3,5,2,0.1,1.470725417137146,"{'0': 22, '1': 76, '2': 24}",0.5711390424474813,20,0.683856358417422,0.40832024812698364,1187,42
146,0.8398909161130177,TrialState.COMPLETE,16,2,16,3,0.00016824312274234363,3,5,2,0.1,1.4495041370391846,"{'0': 54, '1': 45, '2': 22}",0.36443170096991767,20,0.8398909161130177,0.771483302116394,1188,42
147,0.7930692229231899,TrialState.COMPLETE,16,2,16,3,0.00016994460425740927,3,5,2,0.1,1.4574413299560547,"{'0': 43, '1': 43, '2': 35}",0.44017838268691795,20,0.7930692229231899,0.670747697353363,1189,42
148,0.6933409727372295,TrialState.COMPLETE,16,2,16,3,0.0001686182817455093,3,5,2,0.1,1.4098191261291504,"{'0': 34, '1': 60, '2': 30}",0.6862988261762251,20,0.6933409727372295,0.4726758897304535,1190,42
149,0.6787045058593013,TrialState.COMPLETE,16,2,16,3,0.00016873212868125624,3,10,2,0.1,1.461355745792389,"{'0': 70, '1': 21, '2': 30}",0.517728666810829,20,0.6787045058593013,0.3744020462036133,1191,42
