number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
31,0.7826771834797389,TrialState.COMPLETE,16,2,16,3,0.00013030646567380476,3,5,3,0.05,1.471975326538086,"{'0': 37, '1': 37, '2': 47}",0.4345913332820806,20,0.7826771834797389,0.6387382745742798,73,42
32,0.8192283498820279,TrialState.COMPLETE,16,2,16,3,0.00013813595851861203,5,10,5,0.0,1.5322005152702332,"{'0': 34, '1': 16, '2': 28, '3': 22, '4': 22}",0.37412835520713006,20,0.8192283498820279,0.7168803811073303,74,42
33,0.7384350235098073,TrialState.COMPLETE,16,2,16,3,0.00013538818174533304,5,10,5,0.0,1.5683510899543762,"{'0': 33, '1': 21, '2': 16, '3': 34, '4': 18}",0.5046584478742421,20,0.7384350235098073,0.5401549339294434,75,42
34,0.6615271924026874,TrialState.COMPLETE,16,2,16,3,0.00014927050380722002,5,10,3,0.05,1.4686623215675354,"{'0': 26, '1': 28, '2': 25, '3': 25, '4': 18}",0.7602034444612565,20,0.6615271924026874,0.4031209945678711,76,42
35,0.7350903983401567,TrialState.COMPLETE,16,2,16,3,0.0002353141630327566,5,10,3,0.0,1.4743812680244446,"{'0': 28, '1': 24, '2': 29, '3': 14, '4': 28}",0.5032361485920033,20,0.7350903983401567,0.5300598740577698,77,42
36,0.7149279651150224,TrialState.COMPLETE,16,2,16,3,0.00024184219506913324,5,10,5,0.0,1.4148122668266296,"{'0': 19, '1': 41, '2': 25, '3': 23, '4': 14}",0.6006011702236183,20,0.7149279651150224,0.5071382522583008,78,42
37,0.6516465368240997,TrialState.COMPLETE,32,2,16,3,0.00023189102603405715,5,10,5,0.0,1.3979747891426086,"{'0': 30, '1': 35, '2': 15, '3': 19, '4': 22}",0.7613569307923336,20,0.6516465368240997,0.3752094507217407,79,42
38,0.7305279944579939,TrialState.COMPLETE,32,3,16,3,0.00025634385193269726,5,10,5,0.0,1.4339331984519958,"{'0': 26, '1': 21, '2': 40, '3': 27, '4': 9}",0.548638880545619,20,0.7305279944579939,0.5337414145469666,80,42
39,-999.0,TrialState.COMPLETE,32,3,16,11,0.0004862375039128887,5,10,5,0.0,1.2044710516929626,"{'0': 13, '1': 31, '2': 24, '3': 36, '4': 17}",,20,-999.0,,81,42
40,0.560146870518088,TrialState.COMPLETE,32,3,64,11,0.0004902176969808739,4,10,5,0.0,1.0316410958766937,"{'0': 35, '1': 40, '2': 28, '3': 19}",1.3276749485433628,20,0.560146870518088,0.2321797013282776,82,42
41,0.5234043252517022,TrialState.COMPLETE,32,3,64,11,0.0004903898509164389,4,30,5,0.0,1.0542347431182861,"{'0': 34, '1': 30, '2': 27, '3': 30}",1.6374277987345367,20,0.5234043252517022,0.17044895887374878,83,42
42,0.5510719664010872,TrialState.COMPLETE,64,3,64,11,0.00046777743870679746,4,30,5,0.3,0.9778392910957336,"{'0': 36, '1': 37, '2': 20, '3': 28}",1.2547918378032448,20,0.5510719664010872,0.19434854388237,84,42
43,0.5182790506451814,TrialState.COMPLETE,64,1,64,7,0.0007749009186868791,3,30,5,0.3,1.0686517655849457,"{'0': 53, '1': 30, '2': 38}",1.6120335421562977,20,0.5182790506451814,0.15264573693275452,85,42
44,0.8431304768286914,TrialState.COMPLETE,16,2,16,3,0.00011777615462593341,4,5,3,0.05,1.564262568950653,"{'0': 38, '1': 30, '2': 37, '3': 16}",0.336290252956368,20,0.8431304768286914,0.7675095796585083,86,42
45,0.8034969572788961,TrialState.COMPLETE,16,2,16,3,0.00011395124411445087,3,5,3,0.1,1.603245198726654,"{'0': 23, '1': 51, '2': 47}",0.39784633990828694,20,0.8034969572788961,0.682517409324646,87,42
46,0.7516573292651536,TrialState.COMPLETE,16,2,16,3,0.00012060138368491136,3,5,3,0.1,1.538452684879303,"{'0': 72, '1': 21, '2': 28}",0.5580801703918822,20,0.7516573292651536,0.5974647998809814,88,42
47,0.6567537985596578,TrialState.COMPLETE,16,2,32,3,0.00012013478061131739,4,5,3,0.1,1.4337674379348755,"{'0': 27, '1': 41, '2': 36, '3': 18}",0.7436887833354541,20,0.6567537985596578,0.384870707988739,89,42
48,0.6458959619529965,TrialState.COMPLETE,16,2,32,7,0.00016683020628124897,4,15,3,0.1,1.3543617725372314,"{'0': 26, '1': 35, '2': 30, '3': 30}",0.8868451498346022,20,0.6458959619529965,0.3911440074443817,90,42
49,0.6583051222376066,TrialState.COMPLETE,16,2,32,7,0.0001593402183518872,4,15,3,0.1,1.3338027596473694,"{'0': 40, '1': 30, '2': 36, '3': 16}",0.854148014302188,20,0.6583051222376066,0.4185878336429596,91,42
50,0.7090313039098399,TrialState.COMPLETE,16,2,16,3,0.0003239141750894074,6,5,3,0.1,1.3743082284927368,"{'0': 19, '1': 17, '2': 26, '3': 19, '4': 16, '5': 24}",0.6581098162011797,20,0.7090313039098399,0.5088639855384827,92,42
51,0.8996059734072356,TrialState.COMPLETE,16,2,16,3,0.0001546175155362726,6,5,3,0.1,1.43119615316391,"{'0': 17, '1': 31, '2': 16, '3': 15, '4': 28, '5': 14}",0.1906810748146828,20,0.8996059734072356,0.8504266738891602,93,42
52,-999.0,TrialState.COMPLETE,16,2,16,3,0.00035609820234917453,6,5,3,0.1,1.399296522140503,"{'0': 25, '1': 20, '2': 28, '3': 28, '4': 11, '5': 9}",,20,-999.0,,94,42
53,0.8120558425427702,TrialState.COMPLETE,16,2,16,3,0.00035667414287306046,6,5,3,0.1,1.342611849308014,"{'0': 25, '1': 37, '2': 21, '3': 24, '4': 9, '5': 6}",0.3570436664413791,20,0.8120558425427702,0.6885344386100769,95,42
54,0.7454698635823278,TrialState.COMPLETE,16,1,16,3,0.00011446041696096116,3,5,2,0.05,1.506898820400238,"{'0': 59, '1': 50, '2': 13}",0.4948311633081172,20,0.7454698635823278,0.5565094351768494,96,42
55,0.5651205655039042,TrialState.COMPLETE,16,1,16,3,0.0001134084547985124,3,5,2,0.05,1.5576348304748535,"{'0': 42, '1': 26, '2': 53}",1.014296771823678,20,0.5651205655039042,0.18910060822963715,97,42
56,-999.0,TrialState.COMPLETE,16,2,16,3,0.00064533216344698,6,5,3,0.1,1.2912664413452148,"{'0': 37, '1': 20, '2': 10, '3': 18, '4': 21, '5': 15}",,20,-999.0,,98,42
57,0.7425332283234272,TrialState.COMPLETE,16,2,16,3,0.00020548537077163,6,5,3,0.1,1.398346722126007,"{'0': 32, '1': 11, '2': 25, '3': 13, '4': 21, '5': 20}",0.5034007950770434,20,0.7425332283234272,0.5513875484466553,99,42
58,-999.0,TrialState.COMPLETE,16,2,16,3,0.0007214347275086305,6,5,3,0.1,1.2413262724876404,"{'0': 25, '1': 32, '2': 8, '3': 17, '4': 16, '5': 23}",,20,-999.0,,100,42
59,-999.0,TrialState.COMPLETE,16,2,16,3,0.0002048112934219649,6,5,3,0.1,1.3692277669906616,"{'0': 33, '1': 17, '2': 25, '3': 23, '4': 11, '5': 13}",,20,-999.0,,101,42
60,0.6195323652860922,TrialState.COMPLETE,16,2,16,3,0.00015325280970571222,6,5,3,0.1,1.4350430369377136,"{'0': 19, '1': 23, '2': 29, '3': 15, '4': 16, '5': 20}",1.163613206616082,20,0.6195323652860922,0.3739297688007355,102,42
61,-999.0,TrialState.COMPLETE,16,2,16,3,0.00015338550842311182,6,15,3,0.1,1.475070834159851,"{'0': 26, '1': 18, '2': 26, '3': 21, '4': 13, '5': 18}",,20,-999.0,,103,42
62,0.6480584511604488,TrialState.COMPLETE,16,2,16,7,0.00015273517677771322,6,15,3,0.1,1.4418601393699646,"{'0': 17, '1': 20, '2': 33, '3': 15, '4': 21, '5': 15}",0.6403362371187136,20,0.6480584511604488,0.3290546238422394,104,42
63,0.607347323640926,TrialState.COMPLETE,16,2,16,7,0.00015465043699756394,6,15,3,0.1,1.4819480776786804,"{'0': 28, '1': 20, '2': 22, '3': 15, '4': 12, '5': 25}",0.8495223530179392,20,0.607347323640926,0.2718379497528076,105,42
64,0.7685796041503085,TrialState.COMPLETE,64,2,16,3,0.00014535893482267242,2,5,3,0.1,1.4420387744903564,"{'0': 82, '1': 40}",0.5115716441664475,20,0.7685796041503085,0.6288876533508301,106,42
65,0.8623688017879755,TrialState.COMPLETE,64,2,16,3,0.00017563558008937602,2,5,3,0.3,1.4398923516273499,"{'0': 94, '1': 27}",0.24968128358906844,20,0.8623688017879755,0.7780216932296753,107,42
66,-999.0,TrialState.COMPLETE,64,2,16,3,0.00017882014649036124,2,5,3,0.3,1.4075892567634583,"{'0': 107, '1': 15}",,20,-999.0,,108,42
67,0.742151578066097,TrialState.COMPLETE,64,2,16,3,0.00010225107331924436,2,5,3,0.3,1.5017700791358948,"{'0': 66, '1': 55}",0.6156718155041195,20,0.742151578066097,0.5899151563644409,109,42
68,0.6036495359553626,TrialState.COMPLETE,128,2,16,3,0.0019925642610792277,4,5,3,0.05,1.0994197130203247,"{'0': 20, '1': 32, '2': 43, '3': 28}",1.0785145635243292,20,0.6036495359553626,0.31233054399490356,110,42
69,0.6921958779682389,TrialState.COMPLETE,64,2,16,3,0.00018715924783490394,2,5,3,0.3,1.4327665567398071,"{'0': 79, '1': 42}",0.6808875747287765,20,0.6921958779682389,0.4677678346633911,111,42
70,0.7533807142047257,TrialState.COMPLETE,64,2,16,3,0.00010272335445931194,2,5,3,0.3,1.4700205326080322,"{'0': 36, '1': 85}",0.5714373939140086,20,0.7533807142047257,0.6070648431777954,112,42
71,0.7423731044020013,TrialState.COMPLETE,64,2,32,3,0.00018725475758495466,2,5,3,0.3,1.3318141102790833,"{'0': 73, '1': 48}",0.5723354372615692,20,0.7423731044020013,0.5759260654449463,113,42
72,0.754455356818918,TrialState.COMPLETE,64,2,32,3,0.0001929329417533325,2,5,3,0.3,1.3384003043174744,"{'0': 53, '1': 68}",0.5463052725369991,20,0.754455356818918,0.6012700200080872,114,42
73,0.7233384824463568,TrialState.COMPLETE,64,2,32,3,0.0001250663365539908,2,5,3,0.3,1.3827624320983887,"{'0': 67, '1': 54}",0.7584274954888852,20,0.7233384824463568,0.5792328715324402,115,42
74,0.8269608790802528,TrialState.COMPLETE,128,2,16,3,0.00012290673150929925,3,5,3,0.05,1.4516152739524841,"{'0': 71, '1': 39, '2': 12}",0.3663702528745751,20,0.8269608790802528,0.7354316115379333,116,42
75,0.797230961872963,TrialState.COMPLETE,128,2,16,3,0.00012382820288664686,3,5,2,0.05,1.3998474478721619,"{'0': 67, '1': 28, '2': 27}",0.4206331475567193,20,0.797230961872963,0.6744500398635864,117,42
76,0.7358202681645996,TrialState.COMPLETE,128,2,16,3,0.00012106285752263107,3,5,2,0.05,1.47334885597229,"{'0': 41, '1': 46, '2': 35}",0.5786922970436689,20,0.7358202681645996,0.5593987703323364,118,42
77,-999.0,TrialState.COMPLETE,128,2,16,3,0.00013891108464042273,3,10,2,0.05,1.3317145705223083,"{'0': 51, '1': 56, '2': 15}",,20,-999.0,,119,42
78,0.7360721695489743,TrialState.COMPLETE,128,2,16,3,0.00013872681397853593,5,10,3,0.05,1.4329267144203186,"{'0': 22, '1': 26, '2': 31, '3': 23, '4': 20}",0.5173415425396262,20,0.7360721695489743,0.5381655693054199,120,42
79,0.6954797923545711,TrialState.COMPLETE,128,2,16,3,0.000268720119220505,5,10,2,0.05,1.3538004159927368,"{'0': 22, '1': 25, '2': 21, '3': 18, '4': 35}",0.6081124941702394,20,0.6954797923545711,0.45407336950302124,121,42
80,0.7306613435359721,TrialState.COMPLETE,16,2,16,3,0.00026827996044728974,5,30,5,0.05,1.4437140226364136,"{'0': 34, '1': 28, '2': 21, '3': 21, '4': 17}",0.5394461676246715,20,0.7306613435359721,0.5308173298835754,122,42
81,0.6664644955968047,TrialState.COMPLETE,16,2,16,3,0.00017128556414129796,5,30,5,0.0,1.4917010068893433,"{'0': 27, '1': 23, '2': 24, '3': 29, '4': 18}",0.8030846683631718,20,0.6664644955968047,0.42880845069885254,123,42
82,-999.0,TrialState.COMPLETE,16,2,16,11,0.000971124865473357,5,5,5,0.0,1.098340094089508,"{'0': 23, '1': 21, '2': 22, '3': 23, '4': 34}",,20,-999.0,,124,42
83,0.5678873351188932,TrialState.COMPLETE,16,2,64,11,0.0009927539150432177,3,30,5,0.0,0.9873446226119995,"{'0': 39, '1': 43, '2': 41}",1.3330364337402074,20,0.5678873351188932,0.25514155626296997,125,42
84,0.7672448783844319,TrialState.COMPLETE,128,2,16,3,0.00011036533766503634,3,5,3,0.0,1.4948629140853882,"{'0': 19, '1': 78, '2': 25}",0.6161241332552388,20,0.7672448783844319,0.6617587804794312,126,42
85,0.7534902240600491,TrialState.COMPLETE,128,2,16,11,0.0001092146375344687,3,5,3,0.05,1.4308658838272095,"{'0': 54, '1': 38, '2': 29}",0.591653296588826,20,0.7534902240600491,0.6143056154251099,127,42
86,0.5990455532250094,TrialState.COMPLETE,128,2,64,3,0.0001097477347268397,3,5,3,0.05,1.2748036980628967,"{'0': 35, '1': 43, '2': 44}",1.1837125547393568,20,0.5990455532250094,0.3190423846244812,128,42
87,0.6855706113999427,TrialState.COMPLETE,128,2,64,3,0.00012479977215264655,3,5,3,0.05,1.3143638372421265,"{'0': 34, '1': 45, '2': 42}",0.7584044306992,20,0.6855706113999427,0.4713182747364044,129,42
88,0.7008419108725181,TrialState.COMPLETE,128,2,64,3,0.0001228541865831631,3,5,3,0.05,1.277986228466034,"{'0': 51, '1': 35, '2': 36}",0.701214121984825,20,0.7008419108725181,0.49856361746788025,130,42
89,0.7948986409035129,TrialState.COMPLETE,128,2,16,3,0.00012511229285289033,3,5,3,0.05,1.3898200988769531,"{'0': 48, '1': 37, '2': 37}",0.4745805361787044,20,0.7948986409035129,0.6898598670959473,131,42
90,0.7957082775057169,TrialState.COMPLETE,128,3,16,3,0.00012584748545242297,4,5,3,0.05,1.45176362991333,"{'0': 16, '1': 40, '2': 36, '3': 29}",0.43783817000492486,20,0.7957082775057169,0.6773191690444946,132,42
91,0.7240313231932076,TrialState.COMPLETE,128,2,16,3,0.000124984496429191,4,5,3,0.1,1.503809928894043,"{'0': 31, '1': 36, '2': 32, '3': 25}",0.6233238291104941,20,0.7240313231932076,0.5406437516212463,133,42
92,0.8328901106071729,TrialState.COMPLETE,32,3,16,3,0.00014230143882413255,4,5,3,0.1,1.4387999773025513,"{'0': 24, '1': 30, '2': 38, '3': 30}",0.35096679972045886,20,0.8328901106071729,0.7452197670936584,134,42
93,0.6764236752397522,TrialState.COMPLETE,32,3,16,3,0.0004240343244138952,4,5,3,0.1,1.3504862189292908,"{'0': 27, '1': 26, '2': 38, '3': 31}",0.7841134076549339,20,0.6764236752397522,0.45220836997032166,135,42
94,0.8094907073460647,TrialState.COMPLETE,128,3,16,3,0.00013714608461600972,4,5,3,0.05,1.4519663453102112,"{'0': 32, '1': 43, '2': 18, '3': 29}",0.3806340509803394,20,0.8094907073460647,0.6919978260993958,136,42
95,0.8313517957836905,TrialState.COMPLETE,128,3,16,3,0.00016526202513807647,4,5,3,0.05,1.4279856085777283,"{'0': 17, '1': 46, '2': 27, '3': 32}",0.3445350028530745,20,0.8313517957836905,0.737789511680603,137,42
96,-999.0,TrialState.COMPLETE,32,3,16,3,0.00016719349800622385,4,5,3,0.1,1.4564884901046753,"{'0': 61, '1': 13, '2': 23, '3': 25}",,20,-999.0,,138,42
97,0.8333776435866369,TrialState.COMPLETE,32,3,16,3,0.0001390329004818349,4,5,3,0.1,1.4954295754432678,"{'0': 48, '1': 32, '2': 25, '3': 16}",0.3446070616840921,20,0.8333776435866369,0.7436118125915527,139,42
98,0.8013066866108267,TrialState.COMPLETE,32,3,16,3,0.00016509020495748255,4,5,3,0.1,1.4894530177116394,"{'0': 55, '1': 50, '2': 8, '3': 8}",0.4249102423680939,20,0.8013066866108267,0.68790602684021,140,42
99,0.8829420483905116,TrialState.COMPLETE,32,3,16,3,0.00022624966197838618,4,5,3,0.1,1.4165470600128174,"{'0': 61, '1': 23, '2': 23, '3': 15}",0.22185485845920705,20,0.8829420483905116,0.8211820125579834,141,42
100,0.7508826256271443,TrialState.COMPLETE,32,3,16,3,0.00021815372511224465,4,5,3,0.1,1.426986038684845,"{'0': 17, '1': 39, '2': 41, '3': 24}",0.48407879991700087,20,0.7508826256271443,0.5678200721740723,142,42
101,0.800690753209596,TrialState.COMPLETE,32,3,16,3,0.00022316797863344682,4,5,3,0.1,1.456650972366333,"{'0': 21, '1': 38, '2': 47, '3': 16}",0.4075103776403767,20,0.800690753209596,0.678709864616394,143,42
102,0.7723811193389403,TrialState.COMPLETE,32,3,16,3,0.00014412493204456537,4,10,3,0.1,1.4719830751419067,"{'0': 39, '1': 16, '2': 40, '3': 27}",0.4852510487532547,20,0.7723811193389403,0.6297001838684082,144,42
103,0.7088857116266732,TrialState.COMPLETE,32,3,16,7,0.00021266763966947208,4,10,3,0.1,1.4211228489875793,"{'0': 22, '1': 35, '2': 39, '3': 25}",0.6667050665885398,20,0.7088857116266732,0.5111138820648193,145,42
104,0.7979896863310326,TrialState.COMPLETE,32,3,16,3,0.00014418629218423097,4,5,3,0.1,1.4987006187438965,"{'0': 15, '1': 36, '2': 38, '3': 32}",0.3699028969371937,20,0.7979896863310326,0.6542744636535645,146,42
105,0.8865769784026291,TrialState.COMPLETE,32,3,16,3,0.0001444556923683249,4,5,3,0.1,1.4828218221664429,"{'0': 36, '1': 35, '2': 40, '3': 10}",0.2229577590192418,20,0.8865769784026291,0.8322001695632935,147,42
106,0.8181455947340386,TrialState.COMPLETE,32,3,16,3,0.00030527794040227104,4,5,3,0.1,1.4055452346801758,"{'0': 66, '1': 42, '2': 8, '3': 5}",0.413191366285912,20,0.8181455947340386,0.7310289144515991,148,42
